mod,translation,direction,pattern,is_great,modid,name,classname,args,book_anchor
Hex Casting,Abacus Purification,EAST,aqaeaq,false,hexcasting,list_size,OpListSize,list → num,#patterns/lists@hexcasting:list_size
Hex Casting,Additive Distillation,NORTH_EAST,waaw,false,hexcasting,add,OpAdd,"num/vec, num/vec → num/vec",#patterns/math@hexcasting:add
Hex Casting,Akasha's Distillation,WEST,qqqwqqqqqaq,false,hexcasting,akashic/read,OpAkashicRead,"vector, pattern → any",#patterns/akashic_patterns@hexcasting:akashic/read
Hex Casting,Akasha's Gambit,EAST,eeeweeeeede,false,hexcasting,akashic/write,OpAkashicWrite,"vector, pattern, any →",#patterns/akashic_patterns@hexcasting:akashic/write
Hex Casting,Alidade's Purification,EAST,wa,false,hexcasting,get_entity_look,OpEntityLook,entity → vector,#patterns/basics@hexcasting:get_entity_look
Hex Casting,Alter Gravity,NORTH_WEST,wdwdwaaqw,false,hexcasting,interop/gravity/set,OpChangeGravity,"entity, vector →",#interop/gravity@hexcasting:interop/gravity/set
Hex Casting,Alter Scale,NORTH_EAST,ddwdwwdwwd,false,hexcasting,interop/pehkui/set,OpSetScale,"entity, double →",#interop/pehkui@hexcasting:interop/pehkui/set
Hex Casting,Arc's Reflection,NORTH_EAST,qdwdq,false,hexcasting,const/double/pi,makeConstantOp,→ num,#patterns/consts@hexcasting:const/double/pi
Hex Casting,Archer's Distillation,EAST,wqaawdd,false,hexcasting,raycast,OpBlockRaycast,"vector, vector → vector",#patterns/basics@hexcasting:raycast
Hex Casting,Architect's Distillation,EAST,weddwaa,false,hexcasting,raycast/axis,OpBlockAxisRaycast,"vector, vector → vector",#patterns/basics@hexcasting:raycast/axis
Hex Casting,Assessor's Purification,EAST,wdwewewewewewqw,false,hexcasting,writable/entity,OpTheCoolerWritable,entity → bool,#patterns/readwrite@hexcasting:writable/entity
Hex Casting,Assessor's Reflection,EAST,deeeeeq,false,hexcasting,writable,OpWritable,→ bool,#patterns/readwrite@hexcasting:writable
Hex Casting,Auditor's Purification,EAST,wawqwqwqwqwqwew,false,hexcasting,readable/entity,OpTheCoolerReadable,entity → bool,#patterns/readwrite@hexcasting:readable/entity
Hex Casting,Auditor's Reflection,EAST,aqqqqqe,false,hexcasting,readable,OpReadable,→ bool,#patterns/readwrite@hexcasting:readable
Hex Casting,Augur's Exaltation,SOUTH_EAST,awdd,false,hexcasting,if,OpBoolIf,"bool, any, any → any",#patterns/logic@hexcasting:if
Hex Casting,Augur's Purification,NORTH_EAST,aw,false,hexcasting,bool_coerce,OpCoerceToBool,any → bool,#patterns/logic@hexcasting:bool_coerce
Hex Casting,Axial Purification,NORTH_WEST,qqqqqaww,false,hexcasting,coerce_axial,OpCoerceToAxial,vec → vec,#patterns/math@hexcasting:coerce_axial
Hex Casting,Banish Sentinel,NORTH_EAST,qdwdqdw,false,hexcasting,sentinel/destroy,OpDestroySentinel,,#patterns/spells/sentinels@hexcasting:sentinel/destroy
Hex Casting,Black Sun's Nadir,SOUTH_WEST,qqqqqaewawawe,false,hexcasting,potion/wither,OpPotionEffect,"entity, number, number →",#patterns/spells/nadirs@hexcasting:potion/wither
Hex Casting,Black Sun's Zenith,SOUTH_WEST,qqaawawaeqqdd,true,hexcasting,potion/absorption,OpPotionEffect,"entity, number, number →",#patterns/great_spells/zeniths@hexcasting:potion/absorption
Hex Casting,Blink,SOUTH_WEST,awqqqwaq,false,hexcasting,blink,OpBlink,"entity, number →",#patterns/spells/basic@hexcasting:blink
Hex Casting,Blue Sun's Nadir,WEST,qqqqqawwawawd,false,hexcasting,potion/levitation,OpPotionEffect,"entity, number →",#patterns/spells/nadirs@hexcasting:potion/levitation
Hex Casting,Blue Sun's Zenith,WEST,qqqaawawaeqdd,true,hexcasting,potion/night_vision,OpPotionEffect,"entity, number →",#patterns/great_spells/zeniths@hexcasting:potion/night_vision
Hex Casting,Bookkeeper's Gambit,,,false,hexcasting,mask,SpecialHandler,many → many,#patterns/stackmanip@hexcasting:mask
Hex Casting,Break Block,EAST,qaqqqqq,false,hexcasting,break_block,OpBreakBlock,vector →,#patterns/spells/blockworks@hexcasting:break_block
Hex Casting,Ceiling Purification,EAST,qwe,false,hexcasting,ceil,OpCeil,num → num,#patterns/math@hexcasting:ceil
Hex Casting,Charon's Gambit,SOUTH_WEST,aqdee,false,hexcasting,halt,OpHalt,,#patterns/meta@hexcasting:halt
Hex Casting,Chronicler's Gambit,EAST,wdwewewewewew,false,hexcasting,write/entity,OpTheCoolerWrite,"entity, any →",#patterns/readwrite@hexcasting:write/entity
Hex Casting,Chronicler's Purification,EAST,wawqwqwqwqwqw,false,hexcasting,read/entity,OpTheCoolerRead,entity → any,#patterns/readwrite@hexcasting:read/entity
Hex Casting,Circle's Reflection,NORTH_WEST,eawae,false,hexcasting,const/double/tau,makeConstantOp,→ num,#patterns/consts@hexcasting:const/double/tau
Hex Casting,Combination Distillation,NORTH_WEST,qaeaq,false,hexcasting,concat,OpConcat,"list, list → list",#patterns/lists@hexcasting:concat
Hex Casting,Compass' Purification,EAST,aa,false,hexcasting,entity_pos/eye,OpEntityPos,entity → vector,#patterns/basics@hexcasting:entity_pos/eye
Hex Casting,Compass' Purification II,NORTH_EAST,dd,false,hexcasting,entity_pos/foot,OpEntityPos,entity → vector,#patterns/basics@hexcasting:entity_pos/foot
Hex Casting,Conjunction Distillation,NORTH_EAST,wdw,false,hexcasting,and,OpBoolAnd,"bool, bool → bool",#patterns/logic@hexcasting:and
Hex Casting,Conjure Block,NORTH_EAST,qqa,false,hexcasting,conjure_block,OpConjureBlock,vector →,#patterns/spells/blockworks@hexcasting:conjure_block
Hex Casting,Conjure Light,NORTH_EAST,qqd,false,hexcasting,conjure_light,OpConjureBlock,vector →,#patterns/spells/blockworks@hexcasting:conjure_light
Hex Casting,Consideration,WEST,qqqaw,false,hexcasting,escape,CONSIDERATION,,#patterns/patterns_as_iotas@hexcasting:escape
Hex Casting,Cosine Purification,SOUTH_EAST,qqqqqad,false,hexcasting,cos,OpCos,num → num,#patterns/advanced_math@hexcasting:cos
Hex Casting,Craft Artifact,EAST,wwaqqqqqeawqwqwqwqwqwwqqeadaeqqeqqeadaeqq,false,hexcasting,craft/artifact,OpMakePackagedSpell,"entity, list of patterns →",#patterns/spells/hexcasting@hexcasting:craft/artifact
Hex Casting,Craft Cypher,EAST,waqqqqq,false,hexcasting,craft/cypher,OpMakePackagedSpell,"entity, list of patterns →",#patterns/spells/hexcasting@hexcasting:craft/cypher
Hex Casting,Craft Phial,SOUTH_WEST,aqqqaqwwaqqqqqeqaqqqawwqwqwqwqwqw,true,hexcasting,craft/battery,OpMakeBattery,entity →,#patterns/great_spells/make_battery@hexcasting:craft/battery
Hex Casting,Craft Trinket,EAST,wwaqqqqqeaqeaeqqqeaeq,false,hexcasting,craft/trinket,OpMakePackagedSpell,"entity, list of patterns →",#patterns/spells/hexcasting@hexcasting:craft/trinket
Hex Casting,Create Lava,EAST,eaqawqadaqd,true,hexcasting,create_lava,OpCreateFluid,vector →,#patterns/great_spells/create_lava@hexcasting:create_lava
Hex Casting,Create Water,SOUTH_EAST,aqawqadaq,false,hexcasting,create_water,OpCreateFluid,vector →,#patterns/spells/blockworks@hexcasting:create_water
Hex Casting,Destroy Liquid,SOUTH_WEST,dedwedade,false,hexcasting,destroy_water,OpDestroyFluid,vector →,#patterns/spells/blockworks@hexcasting:destroy_water
Hex Casting,Dioscuri Gambit,EAST,aadadaaw,false,hexcasting,2dup,OpTwiddling,"any, any → any, any, any, any",#patterns/stackmanip@hexcasting:2dup
Hex Casting,Disjunction Distillation,SOUTH_EAST,waw,false,hexcasting,or,OpBoolOr,"bool, bool → bool",#patterns/logic@hexcasting:or
Hex Casting,Dispel Rain,EAST,eeewwweeewwaqqddqdqd,true,hexcasting,dispel_rain,OpWeather,,#patterns/great_spells/weather_manip@hexcasting:dispel_rain
Hex Casting,Division Distillation,NORTH_EAST,wdedw,false,hexcasting,div_cross,OpDivCross,"num/vec, num/vec → num/vec",#patterns/math@hexcasting:div_cross
Hex Casting,Edify Sapling,NORTH_EAST,wqaqwd,false,hexcasting,edify,OpEdifySapling,vector →,#patterns/spells/blockworks@hexcasting:edify
Hex Casting,Entity Purification,SOUTH_EAST,qqqqqdaqa,false,hexcasting,get_entity,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity
Hex Casting,Entity Purification: Animal,SOUTH_EAST,qqqqqdaqaawa,false,hexcasting,get_entity/animal,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity/animal
Hex Casting,Entity Purification: Item,SOUTH_EAST,qqqqqdaqaaww,false,hexcasting,get_entity/item,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity/item
Hex Casting,Entity Purification: Living,SOUTH_EAST,qqqqqdaqaawd,false,hexcasting,get_entity/living,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity/living
Hex Casting,Entity Purification: Monster,SOUTH_EAST,qqqqqdaqaawq,false,hexcasting,get_entity/monster,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity/monster
Hex Casting,Entity Purification: Player,SOUTH_EAST,qqqqqdaqaawe,false,hexcasting,get_entity/player,OpGetEntityAt,vector → entity or null,#patterns/entities@hexcasting:get_entity/player
Hex Casting,Entropy Reflection,NORTH_WEST,eqqq,false,hexcasting,random,OpRandom,→ num,#patterns/math@hexcasting:random
Hex Casting,Equality Distillation,EAST,ad,false,hexcasting,equals,OpEquality,"any, any → number",#patterns/logic@hexcasting:equals
Hex Casting,Erase Item,EAST,qdqawwaww,false,hexcasting,erase,OpErase,,#patterns/spells/hexcasting@hexcasting:erase
Hex Casting,Euler's Reflection,EAST,aaq,false,hexcasting,const/double/e,makeConstantOp,→ num,#patterns/consts@hexcasting:const/double/e
Hex Casting,Excisor's Distillation,SOUTH_WEST,edqdewaqa,false,hexcasting,list_remove,OpRemove,"list, num → list",#patterns/lists@hexcasting:list_remove
Hex Casting,Exclusion Distillation,NORTH_WEST,dwa,false,hexcasting,xor,OpBoolXor,"bool, bool → bool",#patterns/logic@hexcasting:xor
Hex Casting,Exclusionary Distillation,NORTH_WEST,dwaeaqa,false,hexcasting,xor_bit,OpXor,"num, num/list, list → num/list",#patterns/sets@hexcasting:xor_bit
Hex Casting,Explosion,EAST,aawaawaa,false,hexcasting,explode,OpExplode,"vector, number →",#patterns/spells/basic@hexcasting:explode
Hex Casting,Extinguish Area,SOUTH_WEST,ddedwdwd,false,hexcasting,extinguish,OpExtinguish,vector →,#patterns/spells/blockworks@hexcasting:extinguish
Hex Casting,False Reflection,NORTH_EAST,dedq,false,hexcasting,const/false,makeConstantOp,→ bool,#patterns/consts@hexcasting:const/false
Hex Casting,Fireball,EAST,ddwddwdd,false,hexcasting,explode/fire,OpExplode,"vector, number →",#patterns/spells/basic@hexcasting:explode/fire
Hex Casting,Fisherman's Gambit,WEST,ddad,false,hexcasting,fisherman,OpFisherman,number → any,#patterns/stackmanip@hexcasting:fisherman
Hex Casting,Fisherman's Gambit II,EAST,aada,false,hexcasting,fisherman/copy,OpFishermanButItCopies,number → any,#patterns/stackmanip@hexcasting:fisherman/copy
Hex Casting,Flay Mind,NORTH_EAST,qeqwqwqwqwqeqaeqeaqeqaeqaqded,true,hexcasting,brainsweep,OpBrainsweep,"entity, vector →",#patterns/great_spells/brainsweep@hexcasting:brainsweep
Hex Casting,Flight,NORTH_WEST,eawwaeawawaa,true,hexcasting,flight,OpFlight,"entity, number, number →",#patterns/great_spells/flight@hexcasting:flight
Hex Casting,Flock's Disintegration,NORTH_WEST,qwaeawq,false,hexcasting,splat,OpSplat,list → many,#patterns/lists@hexcasting:splat
Hex Casting,Flock's Gambit,SOUTH_WEST,ewdqdwe,false,hexcasting,last_n_list,OpLastNToList,"many, num → list",#patterns/lists@hexcasting:last_n_list
Hex Casting,Flock's Reflection,NORTH_WEST,qwaeawqaeaqa,false,hexcasting,stack_len,OpStackSize,→ number,#patterns/stackmanip@hexcasting:stack_len
Hex Casting,Floor Purification,EAST,ewq,false,hexcasting,floor,OpFloor,num → num,#patterns/math@hexcasting:floor
Hex Casting,Gemini Decomposition,EAST,aadaa,false,hexcasting,duplicate,OpTwiddling,"any → any, any",#patterns/stackmanip@hexcasting:duplicate
Hex Casting,Gemini Gambit,EAST,aadaadaa,false,hexcasting,duplicate_n,OpDuplicateN,"any, number → many",#patterns/stackmanip@hexcasting:duplicate_n
Hex Casting,Gravitational Purification,NORTH_EAST,wawawddew,false,hexcasting,interop/gravity/get,OpGetGravity,entity → vector,#interop/gravity@hexcasting:interop/gravity/get
Hex Casting,Greater Fold Reflection,WEST,aqwqawaaqa,false,hexcasting,circle/bounds/max,OpCircleBounds,→ vector,#patterns/circle@hexcasting:circle/bounds/max
Hex Casting,Greater Teleport,EAST,wwwqqqwwwqqeqqwwwqqwqqdqqqqqdqq,true,hexcasting,teleport,OpTeleport,"entity, vector →",#patterns/great_spells/teleport@hexcasting:teleport
Hex Casting,Green Sun's Nadir,SOUTH_EAST,qqqqqadwawaw,false,hexcasting,potion/slowness,OpPotionEffect,"entity, number, number →",#patterns/spells/nadirs@hexcasting:potion/slowness
Hex Casting,Green Sun's Zenith,EAST,aawawaeqqqqdd,true,hexcasting,potion/strength,OpPotionEffect,"entity, number, number →",#patterns/great_spells/zeniths@hexcasting:potion/strength
Hex Casting,Gulliver's Purification,NORTH_WEST,aawawwawwa,false,hexcasting,interop/pehkui/get,OpGetScale,entity → double,#interop/pehkui@hexcasting:interop/pehkui/get
Hex Casting,Hermes' Gambit,SOUTH_EAST,deaqq,false,hexcasting,eval,OpEval,[pattern] | pattern → many,#patterns/meta@hexcasting:eval
Hex Casting,Huginn's Gambit,NORTH_WEST,eqqwawqaaw,false,hexcasting,write/local,OpPushLocal,any →,#patterns/readwrite@hexcasting:write/local
Hex Casting,Ignite Block,SOUTH_EAST,aaqawawa,false,hexcasting,ignite,OpIgnite,vector →,#patterns/spells/blockworks@hexcasting:ignite
Hex Casting,Impulse,SOUTH_WEST,awqqqwaqw,false,hexcasting,add_motion,OpAddMotion,"entity, vector →",#patterns/spells/basic@hexcasting:add_motion
Hex Casting,Inequality Distillation,EAST,da,false,hexcasting,not_equals,OpEquality,"any, any → number",#patterns/logic@hexcasting:not_equals
Hex Casting,Integration Distillation,SOUTH_WEST,edqde,false,hexcasting,append,OpAppend,"list, any → list",#patterns/lists@hexcasting:append
Hex Casting,Internalize Pigment,EAST,awddwqawqwawq,false,hexcasting,colorize,OpColorize,,#patterns/spells/colorize@hexcasting:colorize
